discussion_title,discussion_link,discussion
I think salicylic acid is making my acne worse? what should i do? ,https://patient.info/forums/discuss/i-think-salicylic-acid-is-making-my-acne-worse-what-should-i-do--675578,"hi, so i have been using a salicyclic acid face wash for exactly 6 weeks now, day and night. My skin started purging during the second week and it is still continuing to purge. My acne has not cleared up at all and has gotten worse since i started using the SA face wash. SA is supposed to clear out all the gunk from your face hence the purging, but from what i have been reading online it should only last 3-4 weeks. Since using it i have gotten way more cystic acne and whiteheads. If anyone here has experience with SA, should i continue to use the product? Do you think my skin is still purging? or is it irritated by the SA? "
blakc heads on lip,https://patient.info/forums/discuss/blakc-heads-on-lip-587799,i've had these little pimples on my lip for a while now when they first appeared they'd get big and grow white heads like a black head i recently started popping them and they'd leave scars on my lip has anyone else had this problem i've had these little pimples on my lip for a while now when they first appeared they'd get big and grow white heads like a black head i recently started popping them and they'd leave scars on my lip has anyone else had this problem 
"Big pores with skin that falls off, mixed skin",https://patient.info/forums/discuss/big-pores-with-skin-that-falls-off-mixed-skin-674101," On my cheeks, I have pretty big pores. If you rub them, basically specks of skin come off. I guess I wouldn't call them blackheads cause they're not something I can really squeeze. I'm not sure if I should use something moisturizing because while that part's dry and so are the ends of my face(even more dry-I can scrape clumps of skin off, blech), my nose, jaw, and chest are oily. On the last 3, I get more traditional whiteheads/blackheads and red bumps(mostly the first two). My forehead feels like both and skin can flake off there, too. What's causing this flaking skin? What products should I use when my skin's both oily and dry? On my cheeks, I have pretty big pores. If you rub them, basically specks of skin come off. I guess I wouldn't call them blackheads cause they're not something I can really squeeze. I'm not sure if I should use something moisturizing because while that part's dry and so are the ends of my face(even more dry-I can scrape clumps of skin off, blech), my nose, jaw, and chest are oily. On the last 3, I get more traditional whiteheads/blackheads and red bumps(mostly the first two). My forehead feels like both and skin can flake off there, too. What's causing this flaking skin? What products should I use when my skin's both oily and dry?"
6 pimples right next to each other on my butt!!!!,https://patient.info/forums/discuss/6-pimples-right-next-to-each-other-on-my-butt--672836,"Hey Guys!I am a 20 year old male, this is so ridiculous but I have 6 pimples which are getting bigger right next to each other. They hurt SOOO much. They're at the top edge of my butt, toward the right buttcheek. I can barely walk or lie down, because they are so swollen and hurt like hell. I don't know what to do, I am taking hot baths, and it helps for about 10-15 minutes after the bath, but goes right back to normal. I've had pimples on my thighs and abdominal areas ever since I was a kid, so these pimples aren't really anything new to me, but the fact that there's 6 of them is what makes this really painful LOL. Any advice is appreciated guys, also I have about a month of summer break, so I am just going to relax and rest at home, hoping they go away before classes. Thank You! -YF"
"ACNE: CAUSES, TREATMENT, AND TIPS",https://patient.info/forums/discuss/acne-causes-treatment-and-tips-672488,Acne is another most annoying diseases especially for girls but for men too because I myself also had this disease. Acne destroys the beauty of a person`s face and when it is removed permanent spots most of the time finds its home in your face which is very hard to remove. Teens and Pre-Teens mostly have acnes but adults also face this sometimes.CAUSES OF ACNE?Due to dirt or waste chemicals human skin produces an oily liquid called sebum which carries dead skin cells follicles to the surface of your skin. Follicles connect the oil glands under your skin to the pores of the skin. When follicles get blocked then the oil under your skin starts to store for which pimples or acnes starts to grow on your face. Another reason is the hormonal changes that occurs to the teens which comes with puberty. As the body starts to grow mature and develop more oil sebum starts to store for which the pores become clogged. Most of the time permanent spots remain in your face even if acne is removed or destroyed.www.healthpiller.comTHE OTHER CAUSES FOR ACNE ARE FOR:Oily Beauty ProductsIrregular Periods (Menstruation) for girls onlyMental Stress and DepressionImproper DigestionLack of Water present in your body (Dehydration)https://healthpiller.com/acne-causes-treatment-and-tips/
"I've been depressed for 2 weeks, what should I do? ",https://patient.info/forums/discuss/i-ve-been-depressed-for-2-weeks-what-should-i-do--670142,"I've been depressed for 2 weeks, what should I do??????I've been depressed for 2 weeks, what should I do??????"
Irritation on both cheeks for 3 days.,https://patient.info/forums/discuss/irritation-on-both-cheeks-for-3-days--670429,"Hello. Since 3 days i have an irritation on both of my cheeks. I can feel it a little bit, its a bit hot and irritated.It is not acne, something else. Never happened to me before.Halp plz."
Roaccutane ruined my life,https://patient.info/forums/discuss/roaccutane-ruined-my-life-103826,"Whilst I realise the good that this drug does a lot of people (including myself as it cleared up my acne permanently), I feel like I should share the negative side effects of this drug, as the impact it has had on me has been really quite severe.I am now 32 and was prescribed Roaccutane at the age of 18, just before leaving home and going to university. At the time I didn't realise it was the drugs, but they gradually caused me to withdraw from everyone and everything due to the effects it had on me both physically and therefore mentally.To start with, it caused external skin issues such as dry skin, eczema, sweating and blushing - I used to be so confident but would suddenly blush when spoken to, for no apparent reason, which often caused me to literally run away in panic. This blushing issue became worse and worse, so I then grew extremely anxious that it would happen all the time, which of course it therefore did. I avoided people and became shy and introverted during what should have been the most exciting time of my life so far.It also caused me to break out in a severe heat rash whenever I went out in the sun, to the extent that I began to hide myself away in my room with my curtains closed whilst everyone else went out to the fields to enjoy the day and socialise - I normally would have loved to be involved in this, as I was sociable and fun to be around, but instead I became lonely, miserable and probably ""weird"" in the eyes of everyone else.After just one term of uni, I had stopped going to lectures and was thrown off my course. I decided to start a new course the following academic year (telling my parents that teaching wasn't for me, so I'd try a Business degree instead), but I found immediately that I still couldn't attend lectures and was therefore thrown off that course too. I was terrified to tell my parents, because I knew they'd be so disappointed, so I lied to them continually which caused my anxiety to soar. I spent most of my time in my room on my own. I would sleep all day long, go out every night with the few friends I had left, I was drinking a great deal, and I was so insecure and lacking an ounce of confidence that I became promiscuous.I got myself into a load of debt with credit cards, since they were practically thrown at students back then, and basically wasted almost two years of my life on a downward spiral.The physical symptoms worsened and continued for years after I'd stopped taking the meds, and I have absolutely no doubt at all that they triggered the bouts of severe depression that I consequently experienced (I've attempted suicide three times in the past) and also my seemingly never-ending anxiety. Until I took Roaccutane, I was a joyful, confident, fun, life-loving girl.Although I thankfully no longer experience the blushing, the sweating, the heat rashes or the eczema, I still have to apply lip balm every half an hour otherwise my lips dry out completely - if I were ever to go anywhere without it, I'd probably have a meltdown!Overall, the Roaccutane did what it was supposed to do - it cleared up my acne - but if I could turn the clock back and never take the stuff, I would. I seriously believe that if I hadn't taken it, my life would have turned out very, very differently - and most definitely for the better. "
Spironolactone,https://patient.info/forums/discuss/spironolactone-669636,"Well I'm an 18 yo girl, and my doctor gave me Spironolactone 100 mg and some other pills for sever acne, after viewing my blood test.I know that spiro has an effect similar to estrogen (or perhaps increases its production in the body, I don't know), and other than acne, it also stores up fat in breasts and hips and thighs. Well my question is, can I undo these effects by diet and exercise? Because I just hate to look too feminine, and will my muscles shrink? Should I lower the dosage? Can I use some estrogen-blockers to avoid this? (if yes, please recommend what to use) Thank you"
Big red pimple on side of stomach,https://patient.info/forums/discuss/big-red-pimple-on-side-of-stomach-667362,Theirs a bunch of what looks like flea or mosquito bites on my leg then theirs an big red pimple with a red circle around it on my stomach i noticed it yesterday put neosporin on it and it didn't help it what do I doTheirs a bunch of what looks like flea or mosquito bites on my leg then theirs an big red pimple with a red circle around it on my stomach i noticed it yesterday put neosporin on it and it didn't help it what do I do
"Acne, and hard bumps under jaw line",https://patient.info/forums/discuss/acne-and-hard-bumps-under-jaw-line-665235,"I am from punjab(india). I am 28 male. In teen age i got acne, but from last one year i again' suffering from these. This time they are very worse in nature and just lowering my confidence day by day. I contacted few dermatologist here, mostly said this is due to harmones imbalance and will heal by time. But from last one year there was not any improvement. Sometimes i get white head acne, which got heal in few days, and sometimes i get some hard bumps on cheeks which remain for many days and they leave skin with bumpy red skin and they seem to be always there as the skin got red and its like swollen. On the jaw line i got some pain less hard bumps without head. They sometimes disappear and sometimes got too many.I am taking sufficient water, tried many home remedies like lemon, cucumber, tea tree oil, aloe veera etc. But nothing worked. Currently i am taking homoeopathic medicine from last 4 months, sometimes i think that medicine is working as i got no acne my face, but this didn't last for a day or 2 and very next i got few acne on my face. So plz suggest me what precaution should i take or any home remedy for red acne scars."
Skin Problem,https://patient.info/forums/discuss/skin-problem-655068,I'm facing acne problem from nearly one year.I've tried many skin care products but all in vain.Anyone got a solution to the problem?? I'm facing acne problem from nearly one year.I've tried many skin care products but all in vain.Anyone got a solution to the problem?? 
"Age 35, been fighting acne since 28, finally found something that’s works",https://patient.info/forums/discuss/age-35-been-fighting-acne-since-28-finally-found-something-that-s-works-659128,"I have been fighting acne for so long. I wondered why I even have acne at my age! It’s not fare, isn’t acne for teens? I tried everything and nothing really works for me. I have finally fell on something that does work for me, my acne is about 90% better. I wash my face with a gentle oil free cleaner morning and night, after I dry my face I mix in the palm of my hand, two drops of organic tea tree oil and fill the little hole in my palm with a little witch hazel. I rub the tea tree oil and whtch hazel mixture all over my Face and chest, as I have acne everywhere. I only put lotion on my eyes, lips and nose since these places seem to dry out bad. I let my face be dry in other places where acne is bad, even if it dries out out i don’t use lotion on it. This is really working for me, hope it have it helps you."
Acne,https://patient.info/forums/discuss/acne-662599,"Hello everyone. I have been suffering with an awful form of “acne” if that’s what you want to call it. I get recurring boils and carbuncles on my bum consistently. I will share with you everything I have tried to stop these from recurring. I have a dermatologist appointment in September, until then.. I am willing to try anything!! I have done round after round of antibiotics to no avail. I have tried salicylic acid, benzoyl peroxide, hydrogen peroxide, rubbing alcohol, baking soda, coconut oil, tea tree oil, almond oil. I even bought chlorhexidine which is a surgical grade antibacterial wash that surgeons use to wash their hands before surgery. Still I get them. I have cut everything out of my diet. Gluten, dairy, eggs, fish, nightshades.. nothing helped. I wear loose fitting clothing, I try not to sit for too long. I wash my bum with chlorhexidine 2x a day. I wash after a workout and after intercourse. The breakouts happen sporadically. I can not put two and two together to know what is causing this!! Does anyone have any suggestions for me? Anything else I can try? I have two on my bum right now, they are “dormant” but bound to flare up any moment! Please help."
"Acne, red scars, ",https://patient.info/forums/discuss/acne-red-scars--657502,"i'm having 7 years acne problem, but my parents and relative told me that ""it is my youth acne and will be cured automatically""now still i have this problem, it is now increased let me show you members.i also go for checkup to doctor, he prescribed me ""Omeperazole"" capsule and ""Zyrtec"" tablet but not cured,later again he gave me ""Siton Plus"" cream but still having scars.if you know any treatment so please tell me something how can i get rid of these acne and scars within 1 month.Thanks, i'm attaching my pics.i'm having 7 years acne problem, but my parents and relative told me that ""it is my youth acne and will be cured automatically""now still i have this problem, it is now increased let me show you members.i also go for checkup to doctor, he prescribed me ""Omeperazole"" capsule and ""Zyrtec"" tablet but not cured,later again he gave me ""Siton Plus"" cream but still having scars.if you know any treatment so please tell me something how can i get rid of these acne and scars within 1 month.Thanks, i'm attaching my pics."
Tiny little bumps,https://patient.info/forums/discuss/tiny-little-bumps-662993,"I used to have a lot of acne but thankfully with the right skin care it all disappeared. Except this skin colour bumps that are tiny they aren't Milia and they haven't whiteheads. They are literally tiny tiny bumps all over my face that make my skin texture look digusting . Natural light, make up and heat make them stand out more. I've tired so many different types of skin care routines, excerise and changed my diet for years. I personally think one day I might of gotta a allergic reaction to something and got these spots but for most people allegedly reaction spots go away. They just won't go away and I'm giving up all hope like they look so disgusting and I struggle to even go outside now a days. How can I get rid of these bumps they are all over my face skin coloured bumps and I've tried everything to get rid of them even started doing Korean skincare routine. What are these bumps and how do I get rid of them for good?I used to have a lot of acne but thankfully with the right skin care it all disappeared. Except this skin colour bumps that are tiny they aren't Milia and they haven't whiteheads. They are literally tiny tiny bumps all over my face that make my skin texture look digusting . Natural light, make up and heat make them stand out more. I've tired so many different types of skin care routines, excerise and changed my diet for years. I personally think one day I might of gotta a allergic reaction to something and got these spots but for most people allegedly reaction spots go away. They just won't go away and I'm giving up all hope like they look so disgusting and I struggle to even go outside now a days. How can I get rid of these bumps they are all over my face skin coloured bumps and I've tried everything to get rid of them even started doing Korean skincare routine. What are these bumps and how do I get rid of them for good?"
Acne Jaslin How To Removal Blackheads & Whiteheads On The Face Easy Acne Treatment On Face 2018,https://patient.info/forums/discuss/acne-jaslin-how-to-removal-blackheads-whiteheads-on-the-face-easy-acne-treatment-on-face-2018-631514,"What Causes Acne? Your skin has tiny holes called pores, which can become blocked by oil, bacteria, dead skin cells, and dirt. When this occurs, you may develop a pimple or “zit.” If your skin is repeatedly affected by this condition, you may have acne. According to the American Academy of Dermatology, acne is the most common skin condition in the United States. Although acne isn’t a life-threatening condition, it can be painful, particularly when it’s severe. It can also cause emotional distress. Acne that appears on your face can impact your self-esteem and, over time, may cause permanent physical scarring. There are many effective treatments for acne that reduce both the number of pimples you get and your chance of scarring. What Are the Symptoms of Acne? Acne can be found almost anywhere on your body. It most commonly develops on your face, back, neck, chest, and shoulders. If you have acne, you will typically notice pimples that are white or black in appearance. Both blackheads and whiteheads are known as comedones. Blackheads open at the surface of your skin, giving them a black appearance due to the effect of oxygen in the air. Whiteheads are closed just under the surface of your skin, giving them a white appearance. While whiteheads and blackheads are the most common lesions seen in acne, other types can also occur. Inflammatory lesions are more likely to cause scarring of your skin: Papules are small red, raised bumps caused by inflamed or infected hair follicles. Pustules are small red pimples that have pus at their tips. Nodules are solid, often painful lumps beneath the surface of your skin. Cysts are large lumps found beneath your skin that contain pus and are usually painful. What Causes Acne? Acne occurs when the pores on your skin become blocked with oil, dead skin, or bacteria. Each pore on your skin is the opening to a follicle. The follicle is made up of a hair and a sebaceous (oil) gland. The oil gland releases sebum (oil), which travels up the hair, out of the pore, and onto your skin. The sebum keeps your skin lubricated and soft. Acne can be caused by one or more problems in this lubrication process. It can occur when: too much oil is produced by your follicles dead skin cells accumulate in your pores bacteria builds up in your pores All of these problems contribute to the development of pimples. A zit appears when bacteria grows in a clogged pore and the oil is unable to escape. What Are the Risk Factors for Developing Acne? Myths about what contributes to acne are quite common. Many people believe that foods such as chocolate or French fries will contribute to acne. While there’s no scientific support for these claims, there are certain risk factors for developing acne. These include: hormonal changes caused by puberty or pregnancy certain medications, such as certain birth control pills or corticosteroids a diet high in refined sugars or carbohydrates, such as bread and chips having parents who had acne Young people are most at risk for developing acne during puberty. During this time, your body undergoes drastic hormonal changes. These changes can trigger oil production, leading to an increased risk of acne. Hormonal acne related to puberty usually subsides or at least improves when you reach adulthood. How Is Acne Diagnosed? If you have symptoms of acne, your doctor can confirm your diagnosis by examining your skin. Your doctor will identify the types of lesions and their severity to determine the best treatment. How Is Acne Treated? At-Home Care You can use a number of self-care activities at home to prevent pimples and to clear up your acne. Home remedies for acne include: cleaning your skin daily with a mild soap to remove excess oil and dirt shampooing your hair regularly and keeping it out of your face using makeup that’s water-based or labeled as “noncomedogenic” (not pore-clogging) not squeezing or picking pimples, which spreads bacteria and excess oil not wearing hats or tight headbands not touching your face Medication If self-care activities don’t help with your acne, a number of over-the-counter acne medications are available. Most of these medications contain ingredients that can help kill bacteria, open pores, or reduce oil on your skin. Source :healthline comAcne Treatment Jaslin Moderator comment: I have removed the link(s) directing to site(s) unsuitable for inclusion in the forums. If users want this information please use the Private Message service to request the details."
Acne that I literally can’t get rid of,https://patient.info/forums/discuss/acne-that-i-literally-can-t-get-rid-of-657619,"I am 15, male, I have so much acne and pimples on my chin and jaws and sometimes on my nose and I have a lot and I mean a lot of blackheads on my nose and chin. I also sometimes get whiteheads and I just had two on my nose and popped them, wasn’t the best idea but I can’t take it anymore I am starting to feel extremely insecure about my face and especially my nose. I have tried, charcoal mask, peeling, some acid that is supposed to cure acne and blackheads, a product that was supposed to prevent my face from getting oily and developing acne, and medicine; it was Azitro (here in turkey) I have used it twice for a few months before with a break in between because it didn’t work. None of the things I just said worked and I am planning to go to a dermatologist. What should I do"
Help with routine for acne,https://patient.info/forums/discuss/help-with-routine-for-acne-660477,"Hey everyone,I’m in my early 20s (male), and have been struggling with facial acne since I was a young teenager. The T-Zone on my face consists of mostly oily skin, especially forehead. If I get a pimple, 90% of the time it is present on the forehead. Otherwise, I generally get one around the lower part of my face.I used ProactivMD for 12-13 weeks, and it worked some. However, there were several areas it could not clear up. I went to a dermatologist, and she classified my acne condition as mild with mostly whiteheads present. She prescribed me Tretinion 0.05% cream and Clindamycin Phosphate 1% lotion. I have been applying both as needed, and have seen a little improvement so far. I have been on both for almost a week. Here is my daily routine. Please critique me where needed.AM:-ProactivMD Deep Clean Skin Wash (using up the rest of the bottle), then will switch to CeraVe Foaming Cleanser afterwards-If going out in not much sun or w/e (like going to work): CeraVe AM SPF 30 sunscreen lotion-If going out to gym or when sun is more present: Neutrogena Clear Face SPF 55 sunscreen lotionSince I currently work 2nd shift at work, I generally wake up, eat breakfast, clean face, apply sunscreen, and drive to gym. During working out, I wear a sweatband and try to pat sweat off face using some paper towels. When finished with workout, I generally use a clean towel, pat off face, then finally dry hair from sweat. I then apply Cetaphil Gentle Cleansing wipe to face. I drive immediately home and then take a shower.PM:-ProactivMD Deep Clean Skin Wash-CeraVe SA Cream (only to other areas of body)-needed med (I wait 15-20 minutes after cleansing face)As far as the meds go..Tretinion cream – I apply 3 nights per week on the entire face. I then apply CeraVe Moisturizing Cream to face (recommended by dermatologist).Clindamycin lotion – I apply once daily on the entire face. If I am going to apply the Tretinion cream the same day, I’ll apply this lotion during the daytime. If not applying that cream, I’ll apply it after cleansing at night. After 10 minutes of applying it, it generally dries up and I’ll apply moisturizing cream to face.Here are some questions regarding the routine:1. Before going to gym, would it be better to: deep clean face at gym before workout and apply sunscreen to “dirty” face before driving to gym. I had some thoughts that the sunscreen might be blocking pores up in heavy sweat, and that it does not need to be on the skin during indoor workouts.2. I generally sweat really easy. It usually starts on the forehead, especially if I have anxiety. If I am at work with CeraVe SPF 30 lotion on my face, and I sweat a little on the face, should I worry about it? I try to pat down with a Kleenex if it happens. What about physical work and sweat is more of an issue?3. Is it okay to keep CeraVe SPF 30 lotion on the face during a 8 hour work shift? I work a desk job, so I very rarely have sun exposure. If not, would it be recommended to cleanse off face with micellar water or cleansing wipe and follow with lotion (around 4-5 hours in)?4. I currently rely on the exfoliating elements of the ProactivMD wash to the face for my exfoliating needs. I read online that it is generally recommended to exfoliate every 3-4 days. Would it be recommended to do so with this regime? How about a weekly mask as well?5. After working out at gym, I'm thinking of using micellar water to cleanse face at gym before taking a shower at home. Would this be recommended? Could I apply a thin layer of sunscreen afterwards to just get by until I get home?Thank you to all! Trying to clear up the acne that is present on my face."
"Images posted below, please review",https://patient.info/forums/discuss/images-posted-below-please-review-658288,"I'm 20 years old, soon I'll be 21. I've had these pimples/acne (not sure what they are) for a long time, and it's really annoying. It steps on my confidence, something i need the most to survive through this brutal modern youth. I've been to my doctors, I've also been to the pharmacy many times, but they don't seem to know sh*t. I just hate to come across stupid blogs and stupid websited where all they care about is views and ad reveneu, and they target known problems such as this (knowing that they will get alot of traffic) and they spread un-confirmed information.Both the professionals and the public seems to be stepping on me, I'm not sure what to do.Any information will do. my diet?, sunlight?, products?, any other factors? please do list.Thanks"
Spot/Cyst for 2 weeks on penis shaft.,https://patient.info/forums/discuss/spot-cyst-for-2-weeks-on-penis-shaft--660028,"Hi there, I originally found a small bump on the side of my shaft which I thought was just a Fordyce spot (hopefully it still is) and two nights ago I discovered it developed pus in the centre with a noticeable rise on the skin. This morning it now has some bits of red which I think may be a burst blood vessel but that's the reason I'm posting here to fully find out.An image is posted below but just to note, it's not from any sexual encounter. It's got me very concerned and I have been gently washing it with soap."
acne,https://patient.info/forums/discuss/acne-650728,"I have been using benzac products for like 6 days,and I am developing large cysts on my face. I don't know which products to try out and dermatologists are a bit expensive. My skin feels a bit irritated after applying the products.I have been using benzac products for like 6 days,and I am developing large cysts on my face. I don't know which products to try out and dermatologists are a bit expensive. My skin feels a bit irritated after applying the products."
Why isn't his acne clearing up?,https://patient.info/forums/discuss/why-isn-t-his-acne-clearing-up--648210,My son has been on antibiotic since Nov.. He no longer gets the big whiteheads but his face still has acne.. In the morning his face looks clear but then in the afternoon I notice tiny bumps and it's red and blotchy. Why is this? We are using a gentle soap for sensitive skin and the cream the Dr gave us is the lowest dose and we use it every 2 days because it's drying. About 2 weeks ago I emailed pictures to Dr and she switched antibiotics. So we'll see if this helps. It's just so frustrating because it has been about 5 months. My other son had acne but we used a special soap and face cream which cleared up in a few months.Just wondering if others have these tiny bumps and red blotchy skin in the afternoon.
Huge Boils For 7 years on my face.,https://patient.info/forums/discuss/huge-boils-for-7-years-on-my-face--648804,"I’ve had recurring boils on my face for 7 years now, I get them mainly on my chin but get them on other parts of my face & my shoulders. I’ll get a chin boil at least twice a month, usually after I come off my period. They can be bigger than a 50p and will swell up changing the shape of my face. They can’t be hidden, I usually wear a scarf to cover it if I can. I can’t cope anymore & im at the point where I’d be happy to just not exist. They last a week & then scab for another so I don’t really get a break from it. The doctors are not good, they keep giving me creams & different antibiotics, I had one I took for 8 weeks but couldn’t do anymore as they made me unwell & gave me thrush. I asked the doctor if they could test me or my skin to find out what is causing it but they said they can’t do it. I don’t even know 100% that they’re boils, it could be cystic acne. Does anyone have any idea what is causing it? Who do I go & see for some advice or to have tests done? A dermatologist or a private gp? I’m so lost & really just can’t deal with this anymore, I don’t know what to do. I couldn’t afford expensive treatment but I might be able to afford a monthly thing. Any advice would be great. Thank you. I’ve had recurring boils on my face for 7 years now, I get them mainly on my chin but get them on other parts of my face & my shoulders. I’ll get a chin boil at least twice a month, usually after I come off my period. They can be bigger than a 50p and will swell up changing the shape of my face. They can’t be hidden, I usually wear a scarf to cover it if I can. I can’t cope anymore & im at the point where I’d be happy to just not exist. They last a week & then scab for another so I don’t really get a break from it. The doctors are not good, they keep giving me creams & different antibiotics, I had one I took for 8 weeks but couldn’t do anymore as they made me unwell & gave me thrush. I asked the doctor if they could test me or my skin to find out what is causing it but they said they can’t do it. I don’t even know 100% that they’re boils, it could be cystic acne. Does anyone have any idea what is causing it? Who do I go & see for some advice or to have tests done? A dermatologist or a private gp? I’m so lost & really just can’t deal with this anymore, I don’t know what to do. I couldn’t afford expensive treatment but I might be able to afford a monthly thing. Any advice would be great. Thank you. "
I need quick solution for acne,https://patient.info/forums/discuss/i-need-quick-solution-for-acne-651394,Am on roaccutane for some weeks now but no results. I have loose my confidence due to my severe acne.when I look at myself in mirror I just hate myself.i seriously need solution.contact me on Moderator comment: I have removed the email address as we do not publish these in the forums. If users wish to exchange contact details please use the Private Message service.
Pregnancy acne ,https://patient.info/forums/discuss/pregnancy-acne-650841,I used tretinoin cream 0.05% for acne n recently found out m pregnant for 5 weeks . n really worried as I've heard it causes birth defects ..please tell me has anyone been through this experience ?? Plus anyone suggest any good acne cream which is safe in pregnancy ...I used tretinoin cream 0.05% for acne n recently found out m pregnant for 5 weeks . n really worried as I've heard it causes birth defects ..please tell me has anyone been through this experience ?? Plus anyone suggest any good acne cream which is safe in pregnancy ...
Yellow scabs on forehead and cheeks,https://patient.info/forums/discuss/yellow-scabs-on-forehead-and-cheeks-646225,"Every couple of months my skin starts to itch and a few days later yellow scabs will start to form on my cheeks and forehead. If the scabs come off the skin weeps until it scabs over again. If I wear makeup on top it makes it 100 times worse. I’ve had it on and off for three years now, I’ve been prescribed erythromycin a couple of times, the last time for 3 months which gets rid of it but it always comes back! I’ve also used erythromycin topical solution which helps a lot as it seems to dry it out. The doctors aren’t sure what it is, but the last time I went they thought it was mild acne but I’m not so sure, it’s not spots it looks more like a burn or a if you fall over a scrape your knee. Just wondering if anybody has the same thing and if so how they deal with it/how they got rid of it?"
15 and sick of my skin ,https://patient.info/forums/discuss/15-and-sick-of-my-skin-650079,"so i’ve had skin problems for two years now, and at first it wasn’t bad. I had a few skin colored bumps on my forehead and thought it wouldn’t do any harm. WELL, now my forehead is covered in hyperpigmentation, a couple of small annoying pimples, and something new, small red marks? i’ve tried everything from cetaphil, face masks, skincare regimens, and fresh aloe gel. Its hard having sensitive combo skin. is there anyway to prevent/clear up my acne? I feel as if it’s effecting me emotionally, and I get weird looks at school.so i’ve had skin problems for two years now, and at first it wasn’t bad. I had a few skin colored bumps on my forehead and thought it wouldn’t do any harm. WELL, now my forehead is covered in hyperpigmentation, a couple of small annoying pimples, and something new, small red marks? i’ve tried everything from cetaphil, face masks, skincare regimens, and fresh aloe gel. Its hard having sensitive combo skin. is there anyway to prevent/clear up my acne? I feel as if it’s effecting me emotionally, and I get weird looks at school."
25 Female- Sudden Acne and I don't know what to do about it,https://patient.info/forums/discuss/25-female-sudden-acne-and-i-don-t-know-what-to-do-about-it-647310,"I had great skin growing up, but recently my skin has been way more difficult to handle. I am a 25 year old female, and about 5 week ago I started getting hard, unpopable bumps on my cheeks and one on my forehead. They were painful and big, and I am still dealing with the scars. They flattened out and are still red, but I thought my skin was getting better and healing. Like I said, I don't get very much acne, so this is new to me. About 4-5 days ago I noticed I started getting a few bumps on my cheek again. Nothing like the hard ones before, but they never came to a head, either. More and more unpopable bumps keep forming on my cheeks and under my eyes. Some of them are small and skin coloured, but this is seriously depressing me. I don't know what could be causing this and I don't know what I'm doing wrong. I've made an appointment with a dermatologist, but I have to wait 8 days to see her, so I wanted to ask all of you here what you might think is going on.-----I take MONONESSA birth control pills every morning. (Had to get on and off of it and switched to something else in the past 6-7 weeks, but now I am on only Mononessa)AM: -I wash my face with Neutrogena Ultra Gentle Daily Cleanser Foaming Formula -Pat face dry and moisturize with Neutrogena Oil-Free Moisture with Sunscreen (I just bought CeraVe AM facial moisturizer, but I haven't used it much yet. Not a huge fan of it...)PM: -I wash my face with Neutrogena Ultra Gentle Daily Cleanser Foaming Formula -Pat face dry and apply a few drops of TruSkin Naturals Vitamin C 20% E & Hyaluronic Acid) -BaeBody Beauty Retinol moisturizer -Belif Miracle Revital eye cream(Since my skin has broken out so much recently, I have stopped using everything except my Neutrogena face wash and my Neutrogena moisturizer)-----I'm super weird about my pillowcases, so I change them all the time. Recently I have used some detergents (Snuggle Plus Fabric Conditioner, and all Liquid Laundry Detergent Free and Clear) on my sheets, so I have also stopped using that to clean my pillow cases and my bedsheets. I also make a point to not press my phone against my face, and I try to keep my hair off my face when I sleep.I'm also a very athletic person, and am the fittest I've ever been in my life (if that matters). I go to the gym and lift heavy 3-4 times a week, and I drink a lot of water and eat a healthy diet pretty much most of the time. (Once in a while I'll eat 'junk food', but for the most part I stick to eating lean proteins, veggies, fruits, yogurt, all that good stuff.)I do deal with a lot of stress and anxiety, but I thought that it had gotten a bit better recently... This breakout has made me more anxious and stressed than I was before, though!! I understand my case isn't as bad as some, but this is really bothering me."
I want to go on the pill but my skin isn’t that bad,https://patient.info/forums/discuss/i-want-to-go-on-the-pill-but-my-skin-isn-t-that-bad-646758,"Hello,I really want to go on the contraceptive pill, because I’m having sex with my boyfriend, but I’m underage and don’t want to tell my doctor. I could say I want it just for my skin but it visibly isn’t that bad, not bad enough for the pill anyway. Also, I could say I have abnormally heavy bleeding and bad cramps, but I don’t want to lie to my GP! I don’t know, morals I guess... This is obviously not a major problem but I do want help! Sorry."
Roaccutane - joint/muscle pain after only 1 week,https://patient.info/forums/discuss/roaccutane-joint-muscle-pain-after-only-1-week-641255,"My daughter, aged 16, has had moderate, persistent acne for over 2 years and nothing has worked on a long term basis. She has scarring on her forehead. She was finally referred to a dermatologist who recommended Roaccutane.She started 1 week ago on 20mg daily but within days was experiencing lower back and joint pain. She rated this on a scale as 5 out of 10 for pain and said she “felt like an old woman”. She isn’t an active girl, no sports etc, but has a weekend housekeeping/waitressing job which is light duties only. I called the dermatologist who said it was unusual to have so much pain (in the absence of strenuous exercise) and to stop for a week to see if pain subsides. If it does, to return using 10mg daily for two weeks then alternating 10mg and 20mg for a further fortnight. Daughter is frustrated that she’s in so much discomfort. We expected dry skin/lips and have been adequately prepared for that. We knew joint/muscle pain was a possibility too (and are vigilant for many of the other side effects too) but we didn’t expect it to develop so quickly and to be as sore. Has anyone else experienced this to such a degree? She would be devastated if Roaccutane wasn’t suitable for her but I am worried about her enduring this sort of pain (and indeed whether it goes after completing the course). Thanks"
