"discussion_title","discussion_link","discussion"
"Bad Bloood Donation Practice Worries","https://patient.info/forums/discuss/bad-bloood-donation-practice-worries-545879","I had a blood donation yesterday, the nurse who drew my blood wore gloves but while in the process of collecting blood she went off doing other things like packaging test tube boxes and input stuff on her computer. At the end of the blood draw she folded my gauze pad before withdrew the needle, my worry is If there was surface contamination on the stuff she touched and got some blood on her gloves and then touching my gauze pad and wound, would this transmit HIV/HEP C?"
"Worried about Hep C exposure ","https://patient.info/forums/discuss/worried-about-hep-c-exposure-545381","My mom has had hep c for years and didn't know it. She got it from drug use, I am against her coming around me or my son, but my family let's her around anyway so I couldn't do much to control the situation. My mom held my son, and when she handed him to me I noticed pink smudges on his leg were scabs were from a cat scratch. (He was almost 10 months at the time) this was sept. 28. He is 11 months today. I licked my thumb and rubbed it, licked it again and noticed it tasted like blood. So I did it again trying to get it off confused, then I panicked because I realized my mom just held him. I went and scrubbed my tongue right away and used listerine which I know does not kill it, and I cleaned his leg. I then began to worry. She said she did not notice if she was bleeding from anywhere and that she is very careful about that. I'm not sure if it was because his scab could've been picked, if it was hers, or if it was because he was teething and he drooled because I've noticed blood on his onesie from his mouth before. Should I be concerned? She said she was not bleeding from anywhere although she picks at her face a lot. I am unsure if it was hers. Should I be worried? Or am I being paranoid? My mom has had hep c for years and didn't know it. She got it from drug use, I am against her coming around me or my son, but my family let's her around anyway so I couldn't do much to control the situation. My mom held my son, and when she handed him to me I noticed pink smudges on his leg were scabs were from a cat scratch. (He was almost 10 months at the time) this was sept. 28. He is 11 months today. I licked my thumb and rubbed it, licked it again and noticed it tasted like blood. So I did it again trying to get it off confused, then I panicked because I realized my mom just held him. I went and scrubbed my tongue right away and used listerine which I know does not kill it, and I cleaned his leg. I then began to worry. She said she did not notice if she was bleeding from anywhere and that she is very careful about that. I'm not sure if it was because his scab could've been picked, if it was hers, or if it was because he was teething and he drooled because I've noticed blood on his onesie from his mouth before. Should I be concerned? She said she was not bleeding from anywhere although she picks at her face a lot. I am unsure if it was hers. Should I be worried? Or am I being paranoid? "
" HBcAB positive after being fully vaccinated, very confused now!","https://patient.info/forums/discuss/hbcab-positive-after-being-fully-vaccinated-very-confused-now--527477","Hello, I'm a 26 year old female. I just got my test result and am very confused now. HBsAG: negative HBcAB: positive HBsAB: positive The nurse said it means I got a past infection and now I'm already immunized. However, I got three doses of Hep B vaccines when I was 10, the fourth dose when I was 11 and the fifth dose when I was 15. I tested negative for Hep B before I got the vaccines. So I'm sure I didn't get it when I was a kid before getting the vaccines. I am not a drug user, I didn't get any blood transfusion, I only has one sex partner and both of us were virgin before having sex with each other. How is it possible that I could be infected after finishing 5 doses of vaccines? Do you guys think my result for HBcAB could be false-positive? If not, it means I belong to one of the very rare case that the vaccine didn't work? I'm very confused and scared now because I can't know when I got it. I could have transfer it to my boyfriend because we had unprotected sex. We started to have sex one year ago. Do you guys think my boyfriend could be at risk? Please advise. I'm so worried now and I can't even sleep Thank you very much!"
"Simptoms under tenofovir ? ","https://patient.info/forums/discuss/simptoms-under-tenofovir--539703","I would like to ask if someone is under medication with Tenefovir and what is the result Thank you "
"HIPATITIS A ","https://patient.info/forums/discuss/hipatitis-a-533869","Blood work came back positive for Hepatits A. Re doing test .Has abyone had hepatitis A and what was the sysmtoms? I have right rib pain and more.Thank you in advance."
"Chronic Hepatitis B","https://patient.info/forums/discuss/chronic-hepatitis-b-495343","Hi, I am 36 years old. My LFT levels are normal but HBV DNA Viral Load is 6200 IU/mL. HBe Antigen is negative and HBe antibody is positive. Can you please explain what all these mean and how likely is the sever damage to liver in this state? What do I need to do to reduce or finish the Viral load and how much time is it likely to take?Thanks"
"Best Medication???","https://patient.info/forums/discuss/best-medication--535287","Hello Everyone,Just join you all, thanks for sharing...have been diagnosed since 2005 ! My consultant has adviced to start treatment ...don't know what to choose What's the difference between taking the daily for life one and the one year treatment option???She said the one year option has lots of side effect!Is anyone here able to throw light on ???Thank you "
"Hepatitis B and Chronic Kidney Disease - in shock","https://patient.info/forums/discuss/hepatitis-b-and-chronic-kidney-disease-in-shock-527455","Hi everyone, I've had chronic hepatitis B for more than 12 years, but recently I was diagnosed with chronic kidney disease, stage 3. Most likely I have cirrhosis as well, since I exhibit many of its symptoms, including retention of water in my abdomen, legs and on my face. So far I've been very strict keeping a diet and trying to control the hepatitis, I've been doing the best to control the symptoms, which are getting worse with each year. However, I've begun to really feel my kidneys going worse and I was wondering what to do and whether there are any other people, who have both chronic kidney disease and Hepatitis B with cirrhosis symptoms? It's becoming harder for me to control my diet, as I feel sick after eating almost any food (protein, vegetables, fruit), I've cut down on so many things but I can't seem to improve. Has anyone experienced anything similar?Thank you for the attention!"
"Hep C","https://patient.info/forums/discuss/hep-c-520035","Is there anyone out there who is on the medications for Hep C?"
"Hepatitis c","https://patient.info/forums/discuss/hepatitis-c-387475","Have just read in newspaper if you had blood transfusion before 1991 you should be tested for hepatitis c as I had one in 1974 after birth of my son do you think that it would be relevant to me as it's been so long ago"
"hepatitis b","https://patient.info/forums/discuss/hepatitis-b-529458","I have hepatitis b, my (viral load) DNA Quantification_2456 iu/ml. DNA Quantification (viral load)14288.10copies/ml, log value 3.39.my SGPT (ALT) 58.83U/L, SGOT (AST) 38.25U/L, Globulin 3.80 g/dI My HBeAg-hepatitis B Envelope Antigen 0.00 (Negative). Please what is my risk and what medication or drugs will I take?."
"Cure for HepB","https://patient.info/forums/discuss/cure-for-hepb-481326","Hi, Can you ever be cure from hepB? "
"How long have I had it?","https://patient.info/forums/discuss/how-long-have-i-had-it--522839","A the time my first son was born in 1982, my husband was diagnosed with Hepatitis C. He was only recommended milk thistle and not treated with anything else. We were both 34 at the time His liver enzymes were off back then but I don't remember how bad. So he went many years before anything else showed up. Beginning in 2015 my liver enzymes were slightly raised. March of this year blood work showed positive for the Hepatitis C virus.. The only results at this time is the original findings which is 11.0 and of course should be below the 0.9 limit. Does the Hep c only flare and be active and contagious when the liver enzymes are off? Or can it be active even if the liver enzymes are normal?A the time my first son was born in 1982, my husband was diagnosed with Hepatitis C. He was only recommended milk thistle and not treated with anything else. We were both 34 at the time His liver enzymes were off back then but I don't remember how bad. So he went many years before anything else showed up. Beginning in 2015 my liver enzymes were slightly raised. March of this year blood work showed positive for the Hepatitis C virus.. The only results at this time is the original findings which is 11.0 and of course should be below the 0.9 limit. Does the Hep c only flare and be active and contagious when the liver enzymes are off? Or can it be active even if the liver enzymes are normal?"
"Could i be carrying C Hepatitis virus","https://patient.info/forums/discuss/could-i-be-carrying-c-hepatitis-virus-523769","I was in a hurry and i used my father's razor to shave, and accidentally cut myself. It might even been a new blade, idk, i chose the best looking one. I don't know if it's even a cut. There were two very little blood spots on the skin, not larger than the hair , and i didn't feel any pain. My father had C hepatitis like 5 years ago, and he defeated it. Is there any chance i could've gotten the virus?I was in a hurry and i used my father's razor to shave, and accidentally cut myself. It might even been a new blade, idk, i chose the best looking one. I don't know if it's even a cut. There were two very little blood spots on the skin, not larger than the hair , and i didn't feel any pain. My father had C hepatitis like 5 years ago, and he defeated it. Is there any chance i could've gotten the virus?"
"Heb b drugs","https://patient.info/forums/discuss/heb-b-drugs-518461","Hello everyone, I'm diagnosed with HBV and the pcr test is 3568 Iu/ml. Also the hbeag is negative and I have normal liver functions. Which drug should I use for hepatitis b virus Baraclude ( approximately $372 per month) OrViread ( approximately $47 per month) And does anybody know why there is a huge price difference between the two. Thank you very much. "
"HELP OUT PLS!","https://patient.info/forums/discuss/help-out-pls--515032","I was diagnosed with HBV last year October while trying to donate blood as part of requirement for antenatal registration. My wife also did but tested negative.Please, what's the meaning of this my result and the implication, any cause for alarm?HBsAg, HBeAb and HBcAb- PositiveHBsAb and HBeAg- NegativeLFT Results done last month ending: Ast 36 Alt 46 All phos 63 Bilirubin <17pls note: the hbv test was done twice with 6months interval and the same result was obtained. thanks pls="""" note:="""" the="""" hbv="""" test="""" was="""" done="""" twice="""" with="""" 6months="""" interval="""" and="""" the="""" same="""" result="""" was="""" obtained.="""">pls note: the hbv test was done twice with 6months interval and the same result was obtained. thanks"
"12 Week Treatment for Hep C","https://patient.info/forums/discuss/12-week-treatment-for-hep-c-516604","I am on my 5th week starting tomorrow on my treatment. Can't wait to finish cause honestly I'm tired of taking medicines, but what keeps me going is that I'll be cured when my 12 weeks are up so such a very small price to pay for getting well. My side affects are fatigue, itching all over my body and I gotta tell you it's annoying more than anything. I scratch, and scratch just to stop this annoying itching ugh. Has anyone else experiencing these issues?"
"Hep C and perimenopause","https://patient.info/forums/discuss/hep-c-and-perimenopause-512797","Just dx with hep C have been having severe joint pain for 3 months now which I think is perimenopause. I have severe anxiety and panic attacks since teen years which got worse after getting PTSD. Have hormone migraines since teenager and now they have become worse and unpredictable and periods are irregular. Question is what can I do to help joint pain that won't thrash my liver and if I get hep C geno type 1 tx will it make the sx of perimenopause worse. Also I have severe itching and my hair feels like dry hay. I'm 45. Have 2 teenagers husband is in prison my stress level couldn't get any higher. High stress job on feet 13 hours a day and commute 1 1/2 hours round trip. Bout to loose my mind and hurt so bad I could die "
"Hep a no symptons","https://patient.info/forums/discuss/hep-a-no-symptons-511543","Hi my blood test I had to do for medical to start my new job came back positive with hepitias a But as I have no symptoms I've been sent back for more blood tests If it comes back positive ,does this mean I won't be able to start my new job ,even though I feel perfectly fine ???"
"My partner has Hepatitis C and receives no treatment from NHS to date what can he do?","https://patient.info/forums/discuss/my-partner-has-hepatitis-c-and-receives-no-treatment-from-nhs-to-date-what-can-he-do--144684","My partner was told last year in October that he has Hepatitis C. This was rather strange to him as he has not taken any drugs for nearly 30 years that could have made this happen etc. As we are still not getting any help apart from a further blood test and ultra sound in January this year - our appointment to discuss the results was put further and further back and might happen by end of April - I also phoned the hospital a few time to maybe get an appointment earlier but nobody could help, I put pressure on the GP surgery. When we finally got to se the GP, he apolagized that he had not reacted any earlier and that my partner had apparently Hepatitis C for 30 years while the GP put it down to his alcohol consume. He gave us a number that should reflect the liver damage which was on his last blood result 172 - normal would be about 90. But the results did not come back complete we were told, and the doctor was trying to call the hospital but the rest of the test result seemed not to be found. So all last week were waiting to hear back and then on Friday we were told the hospital will call us. We still have not heard yet and my partner is still not receiving any treatment. This is really frustrating! What can we do? I am scared his liver will get worse and worse until he dies and nobody cares at all! It is hard to keep positive this way! "
"NEED ANSWERS","https://patient.info/forums/discuss/need-answers-507123","Can someone explain my lab results for me, i was first diagnosed in 1999, had a liver biopsy that same year, the doctor said there was no liver damage, and my blood work showed reversal of surface ag, so i never went back until 2012, he did blood work to make sure my situation didnt change, my results were, Hbsag +, Hbeag -, ultrasound normal, Alpha feto protein normal, my results are the same the last four years, my latest results are Hbsag +, Hbv Dna is undetectable, Alpha feto protein is normal, and Ultrasound is normal, i just want to know what you guys think, thanks guys"
"some side effects are worse than disease","https://patient.info/forums/discuss/some-side-effects-are-worse-than-disease-270413","When found out had hepc I wasn't too fussed, finding out I have had it for years came as quite a shock tho. I was given drugs tablets and injections but unfortunately they didn't work and I have thus disease now for life. The side effects I encountered was so severe I tried killing myself. My mind was in turmoil, I had a breakdown and ended up in a psychiatric hospital. I started to notice the worst in everything and everyone, awful thoughts from my past flooded my mind and I had the most awful dreams, it is now about 5 yrs later and not much as changed except I now don't leave my home, I suffer terrible depression and the main thing on my mind is when I eventually end this life of mine to rid myself of this torment how do I donate my body to science? Maybe by examining my remains it my be able to help others? I cannot find this information and yet I know it is out there."
"chronic hbv","https://patient.info/forums/discuss/chronic-hbv-484411","i am patient of chronic hepatits b.18 month ago i tested my hbv,virral load ,load was 44000,after madication tenofivr oral use daily one tablt,last month my viral load was 116 copies,than my docter add one more tablet antacavir,my LFT always show normal and ultasound report also normal,plz tell me can i recover from hbv? "
"hepatitsis b reactive","https://patient.info/forums/discuss/hepatitsis-b-reactive-483498","hello i just discovered i have hep. B I dont knw if it is chronic or not but i was asked to go for LFT test.....is there a chance of it dissapearing at the chronic stage......? i am just 21years old "
"Hepatitis B - DIET","https://patient.info/forums/discuss/hepatitis-b-diet-478773","I've been diagnosed with hepatitis B viral. My question is - What diet I can have/avoid to help my liver. What food/products to avoid?Please help..."
"I have a reactive HBsAg, please help","https://patient.info/forums/discuss/i-have-a-reactive-hbsag-please-help-404807","I am a fresh graduate and I was looking for a job then found one, I was hired and before I could start they wanted to get my medical result first. They told me I won't be able to get the job anymore since my result in HBsAg was reactive. In the medical it says ""3516.26 S/CO; The Cut-Off value reported for this assay cannot be correlated to an end-point titer; rechecked and verified."" Is my Hepa B chronic? And can I still get a job even though I am now a carrier of this disease? I am really depressed now it's like I've wasted 4 years of studying "
"What is my Stage of Hepatitis B with Elevated SGPT, SGOT and high HBsAg titre level?","https://patient.info/forums/discuss/what-is-my-stage-of-hepatitis-b-with-elevated-sgpt-sgot-and-high-hbsag-titre-level--93670","I am 40 years old male with BMI (body mass index) of 20 and patient of Hepatitis B. I was first diagnosed with HBsAg Positive in 1998. At that time Doctor said, it is just carrier and advised me to spend life as normal. During 2007 to 2009, I went through couple of dental problems and I did not know that I got infected with Hep. D (Delta virus) through dental. From 2007 to 2012, I did not go through any lab test. I came to know in 2012, when my lab test of Anti-HDV (antibody Hep. Delta Virus) came as Positive. After taking some herbal medicines for one year, my lab test of Anti-HDV became Negative in 2013. My ultrasound is normal and all other lab tests are normal. My HBsAg titre level is still high at 2069, SGPT (ALT) is 56, SGOT (AST) is 37, and Platelets in CBC is 140 x 10E9/L. My Cholesterol level is on the upper limit of normal range. What does these high SGPT, SGOT and high titre level indicate about my condition? Does it indicate any liver problems?Is my Hep. B on carrier stage and under control? Should I go through any medications or more lab tests? Your advices and feedbacks would be much appreciated.Since last two months, I am having more burps than usual, and my body digests food more quickly, I feel hungry within three hours after lunch/dinner and I always have to eat some snacks every two to three hours. But my weight is not increasing. Please also explain, is it good for my health or not?History of my Lab Tests results are as follows:In 2013:HbSAg: Positive (2069) Hep. B Surface Antibody: NegativeHep. B Core Antibody Total: Positive (0.006) Hep. B Core Antibody-IgM: Negative (0.052) Hep. Be Antigen: Negative (0.124) Hep. Be Antibody: Positive (0.005) Hep. Delta Antibody: Negative (1.247) Hep. B-DNA by PCR: Not Detected Hep. D-DNA by PCR: Not Detected Platelets (in CBC): 140 x 10E9/L (Normal Range: 150 x 10E9/L to 400 x 10E9/L)SGPT (ALT): 56 IU/L (Normal: less than 45)SGOT (AST): 37 IU/L (Normal: less than 35)ALBUMIN: 4.6 g/dl (Normal: 3.5-5.2)GLOBULIN: 3.2 g/dl (Normal: 2.9-3.1)A/G RATIO: 1.4 (Normal: 1.2-1.7)Vitamin D: 15.5 ng/mL (Normal: greater than 30 ng/mL)Serum Cholesterol: 180 mg/dl (Normal: less than 200 mg/dl)LDL-Cholesterol: 108 mg/dl (Normal: less than 100)VLDL-Cholesterol: 22 mg/dl (Normal: less than 30 mg/dl)Serum Calcium: 8.6 mg/dl (Normal: 8.6-10.2)Serum Sodium: 147 mmol/L (Normal: 136-145)Serum Ferritin: 92.9 (Normal: 28 to 365)Serum B12: 533 (Normal: greater than 201)Serum Potassium: 4.3 (Normal 3.5 – 5.1)Serum Chloride: 104 (Normal: 101 – 112)Glucose Fasting: 80 (Normal: 65 – 100)Hemoglobin A1C: 5.0 % (Normal: 4.3 – 6.1)Serum Triglycerides: 111 (Normal: less than 150)Total Bilirubin: 0.6 (Normal: 0.1 – 1.2)Direct Bilirubin: 0.1 (Normal: 0 – 0.2)Indirect Bilirubin: 0.5 (Normal: 0.1 – 0.8)Gamma GT: 26 (Normal: less than 55)Alkaline Phosphatase: 69 (Normal: 45 – 129)Total Protein: 7.8 (Normal: 6.4 – 8.3)Serum Alpha-Fetoprotein: 3.6 (Normal: 0.5 - 5.5)In 2012:HbSAg: Positive (2117) Hep. B Surface Antibody: NegativeHep. B Core Antibody Total: Positive (0.009) Hep. B Core Antibody-IgM: Negative (0.070) Hep. Be Antigen: Negative (0.124)Hep. Be Antibody: Positive (0.002) Hep. Delta Antibody: Positive (0.251) Hep. B-DNA by PCR: Not Detected Hep. D-DNA by PCR: Not Detected Platelets (in CBC): 157 x 10E9/L (Normal Range: 150 x 10E9/L to 400 x 10E9/L)SGPT (ALT): 67 IU/L (Normal: less than 45)SGOT (AST): 42 IU/L (Normal: less than 35)ALBUMIN: 4.6 g/dl (Normal: 3.5-5.2)GLOBULIN: 2.6 g/dl (Normal: 2.9-3.1)A/G RATIO: 1.8 (Normal: 1.2-1.7)Serum Cholesterol: 156 mg/dl (Normal: less than 200 mg/dl)LDL-Cholesterol: 103 mg/dl (Normal: less than 100)VLDL-Cholesterol: 13 mg/dl (Normal: less than 30 mg/dl)Serum Calcium: 9.5 mg/dl (Normal: 8.6-10.2)From 1998 to 2007:HbSAg: Positive (the title level increases from 88 to 175 during this 10 years) Hep. B Surface Antibody: NegativeHep. B Core Antibody Total: Positive Hep. B Core Antibody-IgM: Negative Hep. Be Antigen: Negative Hep. Be Antibody: Positive Hep. B-DNA by PCR: Not Detected SGPT (ALT): between 16 and 21 IU/L (Normal: less than 45)SGOT (AST): 18 IU/L (Normal: less than 35)Platelets (in CBC): 190 x 10E9/L (Normal Range: 150 x 10E9/L to 400 x 10E9/L)"
"I have a friend who has been diagnosed with carrier of hepatitis b virus and is e antigen positive ","https://patient.info/forums/discuss/i-have-a-friend-who-has-been-diagnosed-with-carrier-of-hepatitis-b-virus-and-is-e-antigen-positive-314000","I Know that sheis highly contagious for that matter .. hut can this be cured? I"
"Please help me interpret my current Hepa Profile Result Tnx :)","https://patient.info/forums/discuss/please-help-me-interpret-my-current-hepa-profile-result-tnx--257243","SGPT RESULT NORMAL VALUE 67. 2 0-34 U/L Patient Count Cut Off Value Interpretation HBsAg 2.882 1.153 REACTIVE AntiHBs 0.278 0.963 NONREACTIVE HBeAg 0.623 1.00 NONREACTIVE AntiHBe 0.578 0.828 REACTIVE (Reverse) AntiHBcIgM 0.656 0.910 NONREACTIVE AntiHBcIgG 0.873 1.157 REACTIVE (Reverse)This is my previous reading one year ago Patient Count Cut Off Value Interpretation HBsAg >3.000 0.658 REACTIVE AntiHBs 0.466 0.709 NONREACTIVE HBeAg 0.371 0.621 NONREACTIVE AntiHBE >3.000 1.321 NONREACTIVE AntiHBcIgM 0.402 0.769 NONREACTIVE AntiHBcIG 6.411 1.236 REACTIVE "
"How often is the hepatitus B vaccine required ?","https://patient.info/forums/discuss/how-often-is-the-hepatitus-b-vaccine-required--175349","My brother had the hepatitus B vaccine in October 2007 as he requires it for his job. Can someone tell me when he needs to take the vaccine again and whether he just needs to have a booster or the full vaccine ?"
"Fatty Liver","https://patient.info/forums/discuss/fatty-liver-26269","I was diagnosed this away back in 2008, syptoms include dizzyness which can be very un pleasent, sharp strong abdominal pain which is around your gal bladder area, pain is like a stabbing sensation. Pulse racing or slowness of pulse. Drawness yellow colouring of face.The cause of it in my case i'm a little overweightI have found some herbal remindes which I will try and let you know how I get on, doctors have been pretty clueless, hopeless really, very little is known about this"
"Hi im 15 and live in the uk","https://patient.info/forums/discuss/hi-im-15-and-live-in-the-uk-15258","Hi im Daisy and im 15 years old. I was told i had autoimmune hepatitis c about a year ago as well as having schlerosing cholangitis :cry: It started by me being really tired and losing at least a stone in weight. My mum took me to the dctors and had so many blood tests done but everything came back negative. At least two months later they told me my lfts weren't normal. I then had a liver biopsy, ultra scan and an MRI (in october and i only just got the results back two weeks ago - bloody insane) They suggested things that i had never heard of before and i was worried that i had some incurable disease. I was then later told that had hep c and schlerosing cholangitis and would have to take steroids (40g) a day and the medicine for the rest of my life. I feel better knowing what is wrong with me and hopefully it won't get in the way of me doing stuff later on in life. :wink:"
"Do I need be treated","https://patient.info/forums/discuss/do-i-need-be-treated-15235","Blood test shows that I am HCV positive, this could be caused by blood transfusion in 1991 when my daughter was delivered. I am very confident to my health condition, no drink, no smoke, good habit, regular sports club member. My specialist wants to do liver biopsy then get treatment. I am so scared, first is being alergy to needle, secondly don't want normal life to be spoiled by side effect. Is the treatment so important, will I die quickly without any treatment?"
"Hi, I was diagnosed with NASH 9 months ago, following a ...","https://patient.info/forums/discuss/hi-i-was-diagnosed-with-nash-9-months-ago-following-a--963","Hi, I was diagnosed with NASH 9 months ago, following a severe viral type illness 9 months previously. I had noticed I was putting on weight, my legs were becoming very 'tight' and big, I felt lethargic, my brain didn't seem to function properly and the hot flushes were unbearable - although I did manage to not rip my clothes off whilst at work!But for the continued diligence of my GP, with many blood tests, scans and refererral to a hepatologist, I don't think I would be the fit person I am to-day. When the diagnosis of fatty liver disease (NASH) was made, my GTT was around 260 (normal up to around 70!). I was told to follow a diet of no more than 4gm fat/100gm weight. I saw a dietician, which was very fortunate, as I was really struggling with what fats I should/should not be eating. Once I started on my low fat diet, cutting out all chocolate, biscuits, cakes, cheese, anything fried, olive oil (a real surprise that I wasn't allowed this), within the first week I lost approx 5pounds and the hot flushes stopped. Two weeks passed and my ankles appeared! 9 months later I have lost over two and a half stone, feel much fitter both physically and mentally and my GTT at the last appointment was down to 131 - still far too high as far as I was concerned, but my Consultant was pleased!Far from being aggrieved that I have had to give up some of my favourite treats, I am elated that I have a condition which has been diagnosed, which I can manage myself without medication, and which has lead me to feel fitter than I have for years! I have struggled to sort out exactly what I can and cannot eat - food labels can be quite confusing! However, I would be very happy to help other people who are unsure on what they should or shouldn't be eating.The main problem can be eating out. Not in 'posh' restaurants where everything is cooked from scratch, but in cafes, etc. where all the food is pre-packed, and when I say I don't want mayonnaise or butter, etc., they have nothing to offer me. Places like Starbucks are wonderful - they have introduced 'skinny' options - I just wish the supermarkets would follow suit with 'skinny muffins', although certainly the large outlets like Asda, Tesco, Sainsbury and M & S, are trying very hard to introduce many low fat, healthy options, for which I am truly grateful.The weight loss has been extremely slow - often down to one pound in 4 - 6 weeks (after the initial stone, which came off in what seemed like days!). However, I have never been disheartened, as the inches have continued to reduce, and I have gone from a size 18 to a 12/14, dependent on the make/cut. I would be happy to share my experience with others in the same position. I think diagnosis is probably the difficult issue. I could very easily have just accepted that at 52, it was my age/menopause, etc which was causing me to feel unwell, but my GP took on board the fact that I felt 'something wasn't right', and it is to her that I owe my present well being.[i:3c85043ad6]This message was automatically imported from the original Patient Experience[/i:3c85043ad6]"
"Diagnosed with AIH after the birth of my son","https://patient.info/forums/discuss/diagnosed-with-aih-after-the-birth-of-my-son-23481","Hi everyone,I was diagnosed with AIH in Jan 2009 after the birth of my son in Nov 2008.The hospital had induced me at 38 weeks pregnant because they thought I had Obstetric Cholestasis (itching of hands/feet) which can be dangerous to the unborn baby. After the delivery I felt great and the symptoms went away.Three weeks later the itching came back even worse and I had loss of appetite and was looking slightly jaundice and this was getting worse by the day. So I went to the doctors and they did a load of blood tests and sent me home. Later that day a nurse and a doctor came to my house and admitted me to the hospital as they were concerned and needed to run further tests at the hospital to figure out what was wrong with me as the blood results were showing that something was seriously wrong with my liver.After doing more tests over that week and asking me millions of questions about my lifestyle etc. they performed a liver biopsy and started steroid treatment (Prednisolone 30mg and Azathioprine 50mg) as they were 99.9% sure that it was AIH. But I didnt get very many answers to my questions in hospital (this seems to be the same everywhere!) My biopsy results finally came back in Jan (first seen a doctor in Nov!) and they confirmed it to be AIH Type 1. They then upped my dose of steroids to 60mg because my liver function levels were worsening and have gradually been weaning me off them and are planning on keeping me on the Azathioprine only.I'm now on 15mg of Prednisolone and 50mg of Azathioprine. I'm just praying that this will stay under control and I can get off the steroids because the side effects are terrible. I have put on 2 stone since taking them and my skin is dreadfull, acne breakouts like you wouldnt believe! I feel depressed most days from everything about I guess but I have my little boy which keeps me going.xxx"
"advice needed","https://patient.info/forums/discuss/advice-needed-25090","I am on compassionate leave because my employer thinks I am abusing alcohol I know I am not. I suffer from anxiety so put in a new situation I do shake and get tongue tied they think it is alcohol withdrawal. I have to do blood tests for them (which I am cross about) I have pernicious anemia so i have numb hands and feet also all my blood testsare done every 3 months so I know the blood tests will be ok for my doctor but this can effect my liver amonst other things so their blood test will come back low for liver ....Alcohol withdrawal. I have suffered cancer and have bowel problems now I feel I am coping well Work bowel problems must be alcohol abuse. I am really fed up with it all.do any of the symptoms i have brought up think I might have Autoimmune hepatitis I have other symptoms but just keep putting it down to something I have already had, I have not explored that they might be something elseAny advise welcomeNancy x"
"A general NHS/GP moan and my experience of HA","https://patient.info/forums/discuss/a-general-nhs-gp-moan-and-my-experience-of-ha-23578","I have had HA for going on 7 years. Initially - after a long period of feeling really unwell and being constantly asked if I had a drink problem by my GPs which I don't and never have had - I turn yellow and spent weeks in hospital with HA. Considering my history of polyglandular autoimmune (11 years) I rather feel that someone, during routine hospital appointments and the surgery should have guessed that I have HA. I am now feeling absolutely desperate. I have had a bad reaction to every immunosuppressant prescribed to me which, due to them affecting my stomach badly, I have had to come off even when they have brought my LFT's back to normal. I have just come off prograf due to swelling legs and feet etc and generally feeling really ill. I am on 20mg (started on 60mg) prednisolone and they too are having a bad effect on me - I know I cannot come off them. I have just had another liver biopsy and was told that I have a little scarring - which amazed and delighted me - no cirrhosis which also amazed and delighted me considering the length of time it is taking to get this condition under control and that if I could tolerate an immunosuppressant I would eventually get well again. The prognosis if they do not find one I can tolerate is not good. I too have a GP who knows nothing of this chronic condition and really does not want to ar*ed finding anything out about it and just keeps telling me to ask the consultants at the hospital and we all know what that means in the UK. Constant battles with jumped up secretaries, conflicting information and being treated like a bloody nuisance for having the temerity to ask questions. Sometimes I feel like a boat adrift as sea - I truly have no confidence in my GPs or the hospital anymore. Thank you for reading this general moan."
"I had very serious Liver Failure in July 2004 and was di...","https://patient.info/forums/discuss/i-had-very-serious-liver-failure-in-july-2004-and-was-di--75","I had very serious Liver Failure in July 2004 and was diagnosed with Autoimune Lipid Hepatitis I am now well but was told this condition was brought about by stress from my job, has anybody else had this brought on by stress.It was a very frightening experience and put me in hospital for 3 weeks, it has taken almost 8 months to recover.[i:6f0b8159fe]This message was automatically imported from the original Patient Experience[/i:6f0b8159fe]"
"Awaiting Results","https://patient.info/forums/discuss/awaiting-results-14468","I am awaiting my blood results after being tested last friday. I had a blood transfusion after the birth of my 1st child in 1989. My skin sometimes has shown a tincture of yellow and i have funny little pin prick like blood spots on my arms. I have never used any illegal drugs and am not judging anyone who has, everyone has a reason for doing what they do in life and i am no-one to stand in judgement. I am just terrified at this moment in time until i know my results. :cry:"
"I have just found out 1 hour ago via doctors letter, and...","https://patient.info/forums/discuss/i-have-just-found-out-1-hour-ago-via-doctors-letter-and--1101","I have just found out 1 hour ago via doctors letter, and i am feeling very scared. I think i have had the hep c for the last ten years. What goes around comes comes around i suppose!Good Luck all, Lee H :cheers::cheers::cheers::cheers::cheers::cheers::cheers::cheers::cheers::cheers::cheers::cheers::shock::shock::shock::shock::shock::shock:[i:38dfe31ab8]This message was automatically imported from the original Patient Experience[/i:38dfe31ab8]"
